;C;fit_intercept;penalty;loss;tid
0;0.042342275208457784;0;1;-0.7186383251627333;0
1;0.23783984501172392;1;0;-0.45577633741233814;1
2;0.009297816737683769;1;0;-0.45286033509263424;2
3;0.014031244626017802;1;0;-0.4540649763109115;3
4;0.653075353776386;1;0;-0.45586673555174784;4
5;4.3731345546479305;0;1;-0.7185742090861498;5
6;0.002189949398795244;0;1;-0.7221613708094881;6
7;0.2670402157192929;1;1;-0.45596630373746266;7
8;1.6834583278476611;0;0;-0.7184692084886175;8
9;78.99682249425351;1;1;-0.455879234091418;9
10;38.10300836583646;1;0;-0.455888859192389;10
11;0.42110975094238545;1;1;-0.4559645326230365;11
12;37.18661531966808;0;0;-0.7185738607756674;12
13;0.0012074794540599069;1;0;-0.4357074310750929;13
14;0.015250227021110428;0;1;-0.7193514622809869;14
15;3.3840393468933403;0;1;-0.7185742090861498;15
16;0.02199552588402942;1;1;-0.4552967666849145;16
