;metric;n_neighbors;weights;loss;tid
0;0;15;1;-0.8145559731464527;0
1;3;2;0;-0.8055716641847889;1
2;3;16;1;-0.8145911403000762;2
3;0;2;1;-0.8003323023598528;3
4;1;11;1;-0.8244457306308478;4
5;3;7;0;-0.8125428616831719;5
6;1;1;0;-0.8049035589789314;6
7;3;14;1;-0.8145208148802541;7
8;3;7;0;-0.8125428616831719;8
9;3;2;1;-0.8003323023598528;9
10;2;5;0;-0.7954797224225382;10
11;2;4;0;-0.7964379232213437;11
12;2;12;0;-0.795717081195803;12
13;3;8;0;-0.8099143748783414;13
14;2;7;1;-0.7977829445487482;14
