Location;lat;lng
Albury;-36.0806;146.9158
BadgerysCreek;-33.8969;150.7281
Cobar;-31.4997;145.8319
CoffsHarbour;-30.3022;153.1189
Moree;-29.4650;149.8344
Newcastle;-32.9167;151.7500
NorahHead;-33.2814;151.5766
NorfolkIsland;-29.0389;167.9408
Penrith;-33.7511;150.6942
Richmond;-33.5983;150.7511
Sydney;-33.8650;151.2094
SydneyAirport;-33.9465;151.1731
WaggaWagga;-35.1189;147.3689
Williamtown;-32.8081;151.8419
Wollongong;-34.4331;150.8831
Canberra;-35.2931;149.1269
Tuggeranong;-35.4184;149.0937
MountGinini;-35.5293;148.7721
Ballarat;-37.5500;143.8500
Bendigo;-36.7500;144.2667
Sale;-38.1000;147.0667
MelbourneAirport;-37.6654;144.8322
Melbourne;-37.8136;144.9631
Mildura;-34.1889;142.1583
Nhil;-36.3347;141.6367
Portland;-38.3333;141.6000
Watsonia;-37.7000;145.0833
Dartmoor;-37.900;141.2614
Brisbane;-27.4678;153.0281
Cairns;-16.9303;145.7703
GoldCoast;-28.0167;153.4000
Townsville;-19.2564;146.8183
Adelaide;-34.9289;138.6011
MountGambier;-37.8294;140.7828
Nuriootpa;-34.4667;138.9833
Woomera;-31.1558;136.8054
Albany;-35.0228;117.8814
Witchcliffe;-34.0281;115.1042
PearceRAAF;-31.6669;116.0189
PerthAirport;-31.9275;115.9764
Perth;-31.9522;115.8589
SalmonGums;-32.9803;121.6433
Walpole;-34.9761;116.7328
Hobart;-42.8806;147.3250
Launceston;-41.4419;147.1450
AliceSprings;-23.7000;133.8667
Darwin;-12.4381;130.8411
Katherine;-14.4667;132.2667
Uluru;-25.3602;131.0196
